,corporate_brand,material_type,level,date,snapshot_date,Brand_ΔFIP_%,Brand_Abs_Impact,Brand_MT_Abs_Impact,Net_vs_Abs_Ratio,Signal_SKU_%,Impact_from_Signal_%,Top_5_SKU_%,Plant_Concentration_%,Qty_Impact_%,Cost_Impact_%,Weighted_Dominance,Driver_Conflict_%,Avg_Persistence,Structural_Shift_Index,ProductType_Impact_%,Actionability_Index,Ownership_Clarity_Index,Explainability_Score
58,REVLIMID,FIN,BRAND_MATERIAL_TYPE,202612,2025-12-17,-0.1826657266567903,,6253773.543299905,0.1826657266567903,0.8627450980392157,2.735057058628592,1.6288980326208564,1.2328740479848386,1.0,-0.0,1.0,0.5606060606060606,0.7826797385620915,0.003787878787878788,-0.0016935573094560802,4.4551290619059,1.0,1.0227465768827653
59,REVLIMID,FIN,BRAND_MATERIAL_TYPE,202612,2025-12-19,0.5717791027207338,,990062.760604406,0.5717791027207338,0.8578431372549019,0.534981928581883,0.7340092209406057,0.4880479714881052,1.0,0.0,1.0,0.09714285714285714,0.2826797385620915,0.009523809523809525,0.7804635590566557,0.3926816686156907,1.0,0.6461636012302728
60,REVLIMID,FIN,BRAND_MATERIAL_TYPE,202612,2025-12-26,-0.570758066764386,,2253598.8834652416,0.570758066764386,0.9683860232945092,1.740390075768433,1.0375228511283163,0.6382958696044,1.0,-0.0,1.0,0.13058419243986255,0.17970049916805325,0.00859106529209622,0.8408526507931312,1.805694473486691,1.0,0.8083535664080652
61,REVLIMID,FIN,BRAND_MATERIAL_TYPE,202612,2026-01-02,0.3661024991122737,,11510037.473791542,0.3661024991122737,0.9353233830845771,2.552624434830048,0.48108819486783183,0.332405890519969,-0.3668288735804786,1.6247175016256212,-0.5104693853241288,0.5886524822695035,0.6086235489220564,0.0070921985815602835,0.0051486486764294875,1.2280374815279074,1.9915463752060998,0.5868520828116988
62,REVLIMID,FIN,BRAND_MATERIAL_TYPE,202612,2026-01-09,-0.9096907900002202,,6865492.193970082,0.9096907900002202,0.8609271523178808,0.27706085355935123,0.4036292529161776,0.20791544670429593,1.0,-0.0,1.0,0.11730769230769231,0.23344370860927152,0.0038461538461538464,0.004186050497893447,0.11182986533447943,1.0,0.5136040190472658
63,REVLIMID,FIN,BRAND_MATERIAL_TYPE,202612,2026-01-16,0.90086466655612,,6158423.630933525,0.90086466655612,0.9303482587064676,0.5825654126837456,0.4439161874785291,0.17489447207970363,1.0,0.0,1.0,0.16042780748663102,0.22388059701492538,0.0,0.5967541664771082,0.2586102169554243,1.0,0.5571684650411629
64,REVLIMID,FIN,BRAND_MATERIAL_TYPE,202612,2026-01-23,0.31699663363102903,,14717616.182802614,0.31699663363102903,0.8552412645590682,2.4233977992294324,0.6740345596311195,0.6172546329390305,-0.3207612773196216,1.3970997991009815,-0.08555384718798915,0.5583657587548638,0.7853577371048253,0.007782101167315175,-0.007030690201746215,1.6334538684146345,1.717861076420603,0.6378889209129026
65,REVLIMID,FIN,BRAND_MATERIAL_TYPE,202612,2026-01-30,0.07123023062751414,,6577350.948623658,0.07123023062751414,0.7963272120200334,3.8766321537879884,5.891085958158575,5.170954910863349,1.0,0.0,1.0,0.20964360587002095,0.5175292153589316,0.0,311.2717471225831,22.837573246126453,1.0,2.692216241916741
66,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-07-18,,,0.0,,1.0,,,,,,,0.0,0.0,0.0,,,,
67,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-07-25,-0.9140704729825868,,2849037.1577762025,0.9140704729825868,0.9811320754716981,1.0940075514495369,1.0396677044152165,0.9989880675218418,1.0,-0.0,1.0,0.4230769230769231,0.42452830188679247,0.0,0.9247283733444258,1.1374043196284518,1.0,0.8224708553509924
